sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
male,58,0.018762761,0.015606198,0.004772762,0,0.046700586,0.355240086,0.033230937,0.274329971,0.064685486,0.216841323,0.057382339
male,59,0.018717439,0.016012809,0.005147322,0,0.045842572,0.363112223,0.036946846,0.274340301,0.06448374,0.222336238,0.056034833
male,60,0.018770736,0.016466701,0.0055155,0,0.045114266,0.369474317,0.040867286,0.274405646,0.064249251,0.226210491,0.054635039
male,61,0.018929356,0.016968142,0.005869119,0,0.044503973,0.374284274,0.044811818,0.274300661,0.064036508,0.22998983,0.053169309
male,62,0.0192,0.0175174,0.0062,0,0.044,0.3775,0.0486,0.2738,0.0639,0.2352,0.051624
male,63,0.019584826,0.018116139,0.006502147,0,0.043590927,0.379137066,0.052099551,0.272791323,0.063880872,0.243007432,0.049993678
male,64,0.020067809,0.018771606,0.006778299,0,0.043266435,0.379441704,0.05537082,0.271614305,0.063966888,0.253141295,0.048305759
male,65,0.020628378,0.019492444,0.007033378,0,0.04301648,0.378717808,0.058522313,0.270721626,0.064132468,0.264971442,0.046595871
male,66,0.021245966,0.020287294,0.007272304,0,0.042831016,0.377269275,0.061662538,0.270565964,0.064352032,0.277867726,0.044899642
male,67,0.0219,0.0211648,0.0075,0,0.0427,0.3754,0.0649,0.2716,0.0646,0.2912,0.0432527
male,68,0.022575536,0.022136558,0.007741049,0,0.042618106,0.373389248,0.068322058,0.274164737,0.064857426,0.304402549,0.04169153
male,69,0.023280127,0.02322598,0.008098681,0,0.042598886,0.371417761,0.071931475,0.278154479,0.065131908,0.317167383,0.040256045
male,70,0.02402695,0.024459433,0.008695789,0,0.042660614,0.36964165,0.075709862,0.283351851,0.065437676,0.329250942,0.038987015
male,71,0.024829182,0.025863285,0.009655265,0,0.042821561,0.368217026,0.079638832,0.289539483,0.065788963,0.340409668,0.03792521
male,72,0.0257,0.0274639,0.0111,0,0.0431,0.3673,0.0837,0.2965,0.0662,0.3504,0.0371114
male,73,0.026653829,0.029286622,0.013141657,0,0.04350945,0.367003541,0.087872215,0.303991328,0.066685423,0.359087171,0.036580827
male,74,0.027710083,0.031352693,0.015846976,0,0.044044419,0.367268051,0.092123282,0.31167258,0.06726148,0.366771572,0.03634662
male,75,0.028889422,0.033682334,0.019271466,0,0.044694664,0.36799079,0.09641824,0.319178169,0.067944827,0.373862389,0.03641638
male,76,0.030212508,0.036295763,0.023470637,0,0.045449939,0.36906902,0.100722133,0.326142505,0.068752116,0.380768804,0.036797706
male,77,0.0317,0.0392132,0.0285,0,0.0463,0.3704,0.105,0.3322,0.0697,0.3879,0.0374982
male,78,0.033365947,0.042443069,0.034381123,0,0.047222495,0.371872589,0.109225881,0.337068351,0.070786483,0.395581568,0.038516642
male,79,0.035197941,0.045946619,0.040999816,0,0.048146636,0.373342036,0.113409799,0.3407984,0.07193497,0.403804727,0.039816533
male,80,0.037176961,0.049673304,0.048207947,0,0.048989531,0.374655189,0.117570777,0.343524273,0.073050215,0.412477101,0.041352552
male,81,0.039283988,0.05357258,0.055857386,0,0.049668284,0.375658895,0.121727837,0.345380097,0.074036974,0.421506317,0.043079381
male,82,0.0415,0.0575939,0.0638,0,0.0501,0.3762,0.1259,0.3465,0.0748,0.4308,0.0449517
male,83,0.043805584,0.061666406,0.07188825,0,0.050222972,0.376129303,0.130074663,0.346974467,0.075263044,0.440280156,0.046918107
male,84,0.046179754,0.065637985,0.079976961,0,0.050060235,0.375313404,0.134112722,0.34671942,0.075425839,0.44992632,0.048902872
male,85,0.048601132,0.069336211,0.087921546,0,0.049656013,0.373622853,0.13784345,0.345607139,0.075307111,0.459732405,0.050824184
male,86,0.05104834,0.072588658,0.09557742,0,0.049054527,0.370928201,0.141096119,0.343509905,0.074925589,0.469692327,0.052600231
male,87,0.0535,0.0752229,0.1028,0,0.0483,0.3671,0.1437,0.3403,0.0743,0.4798,0.0541492
male,88,0.055915718,0.077110166,0.109459475,0,0.047438418,0.362110199,0.145531469,0.335896981,0.073460539,0.490072206,0.055412392
male,89,0.058179043,0.078296299,0.115485142,0,0.046522823,0.356336349,0.146655314,0.330409522,0.072483274,0.500617194,0.056423551
male,90,0.060154509,0.0788708,0.120821071,0,0.045608018,0.350257399,0.147183423,0.323993571,0.071455739,0.511566078,0.057239535
male,91,0.06170665,0.078923168,0.125411333,0,0.044748809,0.3443523,0.147227689,0.316805081,0.07046547,0.523049975,0.057917199
male,92,0.0627,0.0785429,0.1292,0,0.044,0.3391,0.1469,0.309,0.0696,0.5352,0.0585134
male,93,0.063043544,0.077819643,0.132158648,0,0.043401754,0.3348619,0.14630506,0.300773608,0.068925198,0.548032619,0.059074986
male,94,0.062824074,0.076843627,0.134368872,0,0.042935673,0.3315292,0.145518824,0.292478494,0.068420264,0.561105705,0.059608773
male,95,0.062172831,0.07570523,0.135939772,0,0.042568714,0.32887555,0.144610057,0.284506576,0.068042731,0.573862481,0.060111566
male,96,0.061221059,0.074494829,0.136980448,0,0.042267836,0.3266746,0.143647527,0.277249772,0.067750132,0.585746172,0.060580173
male,97,0.0601,0.0733028,0.1376,0,0.042,0.3247,0.1427,0.2711,0.0675,0.5962,0.0610114
male,98,0.058921136,0.072198417,0.13790668,0,0.042,0.3247,0.1427,0.2711,0.0675,0.5962,0.061404841
male,99,0.057716909,0.071166533,0.138005344,0,0.042,0.3247,0.1427,0.2711,0.0675,0.5962,0.061771232
male,100,0.0565,0.0701709,0.138,0,0.042,0.3247,0.1427,0.2711,0.0675,0.5962,0.0621241
female,0,0,0.0031573,0.0004,0,0,0,0,0,0,0,0.0005141
female,1,0,0.003087562,0.0004,0,0,0,0,0,0,0,0.000504858
female,2,0,0.0030079,0.0004,0,0,0,0,0,0,0,0.0004943
female,3,0,0.002910937,0.0004,0,0,0,0,0,0,0,0.000481456
female,4,0,0.002799495,0.0004,0,0,0,0,0,0,0,0.000466743
female,5,0,0.002678944,0.0003,0,0,0,0,0,0,0,0.000450921
female,6,0,0.002554656,0.0003,0,0,0,0,0,0,0,0.000434753
female,7,0,0.002432,0.0003,0,0,0,0,0,0,0,0.000419
female,8,0,0.002315959,0.0003,0,0,0,0,0,0,0,0.000404436
female,9,0,0.002209961,0.0003,0,0,0,0,0,0,0,0.000391882
female,10,0,0.002117042,0.0004,0,0,0,0,0,0,0,0.00038217
female,11,0,0.002040242,0.0004,0,0,0,0,0,0,0,0.000376132
female,12,0,0.0019826,0.0004,0,0,0,0,0,0,0,0.0003746
female,13,0,0.001946368,0.0004,0,0,0,0,0,0,0,0.000378528
female,14,0,0.001930656,0.0004,0,0,0,0,0,0,0,0.000389353
female,15,0,0.001933791,0.000507121,0,0,0,0,0,0,0,0.000408635
female,16,0,0.001954097,0.000550378,0,0,0,0,0,0,0,0.000437931
female,17,0,0.0019899,0.0006,0,0,0,0,0.0001,0,0,0.0004788
female,18,0,0.002040074,0.000656758,0,0,0,0,0.000362754,0,0,0.00053367
female,19,0,0.002105685,0.000718286,0,0,0,0,0.000736395,0,0,0.000608444
female,20,0,0.00218835,0.000781435,0,0,0,0,0.00120866,0,0,0.000709892
female,21,0,0.002289683,0.000843057,0,0,0,0,0.001767283,0,0,0.000844787
female,22,0,0.0024113,0.0009,0,0,0,0,0.0024,0,0,0.0010199
