sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cancerLiver,cancerKidney,cancerPancreas,cirrhosis
male,71,0.065338808,0.055373432,0.2523275,0,0.03350672,0.009347489,0.00394594,0.000943824,0.005605705,0.001369318,0.009333548
male,72,0.0691,0.0599488,0.2592,0,0.0358,0.0099,0.0042,0.001,0.0059,0.0014,0.0095825
male,73,0.073016705,0.064726289,0.265805939,0,0.038127921,0.010426966,0.004466474,0.001047767,0.006193653,0.001428675,0.009819862
male,74,0.07708793,0.069683704,0.271983293,0,0.040477013,0.010923724,0.004742588,0.001088838,0.006483491,0.001458928,0.010043294
male,75,0.081310803,0.074796974,0.277547677,0,0.042832144,0.011387,0.005025465,0.001126025,0.006766502,0.001494843,0.010250536
male,76,0.08568245,0.08004203,0.282314708,0,0.045178183,0.011813517,0.005312228,0.001162141,0.007039676,0.001540505,0.010439325
male,77,0.0902,0.0853948,0.2861,0,0.0475,0.0122,0.0056,0.0012,0.0073,0.0016,0.0106074
male,78,0.094865574,0.090829268,0.288737994,0,0.049783134,0.012544634,0.005885477,0.001241504,0.007545235,0.001675429,0.010752723
male,79,0.09970127,0.096311625,0.290138429,0,0.052015808,0.012851455,0.006163651,0.00128491,0.00777623,0.001760959,0.010874158
male,80,0.104734179,0.10180612,0.290229866,0,0.054186915,0.013125959,0.006429086,0.001327564,0.007994608,0.001848775,0.01097079
male,81,0.109991392,0.107276996,0.288940869,0,0.056285348,0.013373641,0.006676347,0.001366812,0.008201991,0.00193106,0.011041709
male,82,0.1155,0.1126885,0.2862,0,0.0583,0.0136,0.0069,0.0014,0.0084,0.002,0.011086
male,83,0.121276997,0.118014513,0.281976483,0,0.060225942,0.013811297,0.007096418,0.001425417,0.008590208,0.00204961,0.011103422
male,84,0.127298988,0.12326746,0.276402191,0,0.062082955,0.014016855,0.007269209,0.001445122,0.008773988,0.002081237,0.011096414
male,85,0.133532481,0.128469401,0.269649657,0,0.063896997,0.014226766,0.007423792,0.001462119,0.008952665,0.002098059,0.011068084
male,86,0.139943982,0.133642394,0.261891415,0,0.065694026,0.014451117,0.007565583,0.001479411,0.009127561,0.002103254,0.011021543
male,87,0.1465,0.1388085,0.2533,0,0.0675,0.0147,0.0077,0.0015,0.0093,0.0021,0.0109599
male,88,0.153165637,0.143991947,0.244056073,0,0.069328297,0.014979779,0.007831252,0.00152643,0.009470733,0.00209093,0.010886177
male,89,0.159900377,0.149225639,0.234372808,0,0.071141971,0.015281924,0.007958713,0.001559403,0.009638216,0.002076493,0.010803054
male,90,0.166662299,0.154544648,0.224471506,0,0.072891497,0.015594179,0.008080548,0.00159916,0.009800333,0.00205659,0.010713121
male,91,0.17340948,0.159984044,0.21457347,0,0.074527348,0.01590429,0.008194922,0.001645945,0.009954966,0.002031125,0.010618973
male,92,0.1801,0.1655789,0.2049,0,0.076,0.0162,0.0083,0.0017,0.0101,0.002,0.0105232
male,93,0.186699654,0.171354331,0.195646425,0,0.077275271,0.016471986,0.008394574,0.001760864,0.01023406,0.001963469,0.010427954
male,94,0.193205103,0.177295625,0.186904178,0,0.078380361,0.016722648,0.008479939,0.001825268,0.010358747,0.001923193,0.010333624
male,95,0.199620725,0.183378114,0.178738718,0,0.079357816,0.016957317,0.008558017,0.001889239,0.010476403,0.001881181,0.010240157
male,96,0.205950898,0.189577128,0.171215506,0,0.080250181,0.017181324,0.00863073,0.001948808,0.010589373,0.001839447,0.0101475
male,97,0.2122,0.195868,0.1644,0,0.0811,0.0174,0.0087,0.002,0.0107,0.0018,0.0100556
male,98,0.21837594,0.20222644,0.158303797,0,0.0811,0.0174,0.0087,0.002,0.0107,0.0018,0.009964375
male,99,0.224500752,0.208629672,0.152723037,0,0.0811,0.0174,0.0087,0.002,0.0107,0.0018,0.00987362
male,100,0.2306,0.2150553,0.1474,0,0.0811,0.0174,0.0087,0.002,0.0107,0.0018,0.0097831
female,0,0,0.0000393,0,0,0,0,0,0,0,0,0.0000401
female,1,0,0.000140719,0,0,0,0,0,0,0,0,0.000143698
female,2,0,0.000235,0,0,0,0,0,0,0,0,0.0002401
female,3,0,0.000316872,0,0,0,0,0,0,0,0,0.000323999
female,4,0,0.000388532,0,0,0,0,0,0,0,0,0.000397646
female,5,0,0.000454047,0,0,0,0,0,0,0,0,0.000465184
female,6,0,0.000517481,0,0,0,0,0,0,0,0,0.000530755
female,7,0,0.0005829,0,0,0,0,0,0,0,0,0.0005985
female,8,0,0.000653438,0,0,0,0,0,0,0,0,0.000671615
female,9,0,0.000728501,0,0,0,0,0,0,0,0,0.00074951
female,10,0,0.000806566,0,0,0,0,0,0,0,0,0.000830646
female,11,0,0.000886107,0,0,0,0,0,0,0,0,0.000913489
female,12,0,0.0009656,0,0,0,0,0,0,0,0,0.0009965
female,13,0,0.001043839,0,0,0,0,0,0,0,0,0.001078466
female,14,0,0.001120897,0,0,0,0,0,0,0,0,0.001159466
female,15,0,0.001197166,0.000102394,0,0,0,0,0,0,0,0.001239904
female,16,0,0.001273036,0.000183856,0,0,0,0,0,0,0,0.001320181
female,17,0,0.0013489,0.0003,0,0,0,0,0,0,0,0.0014007
female,18,0,0.00142506,0.000459576,0,0,0,0,0,0,0,0.001481763
female,19,0,0.001501462,0.000679904,0,0,0,0,0,0,0,0.001563262
female,20,0,0.001577965,0.000980444,0.00012565,0,0,0,0,0,0,0.00164499
female,21,0,0.001654425,0.001380655,0.000202566,0,0,0,0,0,0,0.001726739
