sex,age,ihd,stroke,diabetes,cancerBreast,cancerColorectum,cancerLung,cancerStomach,cirrhosis,cancerLiver,cancerKidney,cancerPancreas,genPop
male,0,0.050693985,0.119573667,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.019437029
male,1,0.050693985,0.119573663,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.017480226
male,2,0.050693985,0.119573667,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.01683915
male,3,0.050693985,0.119573686,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.01849411
male,4,0.050693985,0.119573709,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.022083743
male,5,0.050693985,0.119573723,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.026911264
male,6,0.050693985,0.119573714,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.032279892
male,7,0.050693985,0.119573667,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.037492843
male,8,0.050693985,0.11957358,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.041988592
male,9,0.050693985,0.11957349,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.045746654
male,10,0.050693985,0.119573443,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.048881798
male,11,0.050693985,0.119573486,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.051508797
male,12,0.050693985,0.119573667,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.053742421
male,13,0.050693985,0.119573997,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.05568967
male,14,0.050693985,0.119574336,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.057426451
male,15,0.050693985,0.119574511,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.0590209
male,16,0.050693985,0.119574346,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.060541152
male,17,0.050693985,0.119573667,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.062055342
male,18,0.050693985,0.119572437,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.063617276
male,19,0.050693985,0.11957117,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.065223444
male,20,0.050693985,0.119570518,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.066856005
male,21,0.050693985,0.119571133,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.068497121
male,22,0.050693985,0.119573667,0.086818446,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.07012895
male,23,0.050693985,0.119578259,0.094472484,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.071744305
male,24,0.050693985,0.119582988,0.101996357,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.073378605
male,25,0.050693985,0.119585422,0.1092599,0,0.048873717,0.095560865,0.031327607,0.007785124,0.066063048,0.058621003,0.070538316,0.075077923
male,26,0.050693985,0.119583126,0.116132948,0,0.048873717,0.095560865,0.031327607,0.008694734,0.066063048,0.058621003,0.070538316,0.076888329
male,27,0.050693985,0.119573667,0.122485336,0,0.048873717,0.095560865,0.031327607,0.00970943,0.066063048,0.058621003,0.070538316,0.078855897
male,28,0.050693985,0.119556531,0.128152753,0,0.048873717,0.095560865,0.031327607,0.010807065,0.066063048,0.058621003,0.070538316,0.081002561
male,29,0.050693985,0.119538881,0.132834312,0,0.048873717,0.095560865,0.031327607,0.011991594,0.066063048,0.058621003,0.070538316,0.083253718
male,30,0.050693985,0.119529798,0.136194976,0,0.048873717,0.095560865,0.031327607,0.013273496,0.066063048,0.058621003,0.070538316,0.08551063
male,31,0.050693985,0.119538366,0.137899712,0,0.048873717,0.095560865,0.031327607,0.01466325,0.066063048,0.058621003,0.070538316,0.087674557
male,32,0.050693985,0.119573667,0.137613484,0,0.048873717,0.095560865,0.031327607,0.016171336,0.066063048,0.058621003,0.070538316,0.089646759
male,33,0.050693985,0.119637621,0.135168575,0,0.048873717,0.095560865,0.031327607,0.017799611,0.066063048,0.058621003,0.070538316,0.091351621
male,34,0.050693985,0.119703493,0.13106652,0,0.048873717,0.095560865,0.031327607,0.019515449,0.066063048,0.058621003,0.070538316,0.092806012
male,35,0.050693985,0.119737389,0.125976175,0,0.048873717,0.095560865,0.031327607,0.021277601,0.066063048,0.058621003,0.070538316,0.094049926
male,36,0.050693985,0.119705412,0.120566391,0,0.048873717,0.095560865,0.031327607,0.023044817,0.066063048,0.058621003,0.070538316,0.095123355
male,37,0.050693985,0.119573667,0.115506021,0,0.048873717,0.095560865,0.031327607,0.02477585,0.066063048,0.058621003,0.070538316,0.096066292
male,38,0.050693985,0.119334991,0.111338283,0,0.048873717,0.095560865,0.031327607,0.026444611,0.066063048,0.058621003,0.070538316,0.09692015
male,39,0.050693985,0.119089152,0.108103846,0,0.048873717,0.095560865,0.031327607,0.028085652,0.066063048,0.058621003,0.070538316,0.097732022
male,40,0.050693985,0.11896265,0.105717747,0,0.048873717,0.095560865,0.031327607,0.029748686,0.066063048,0.058621003,0.070538316,0.098550423
male,41,0.051689353,0.119081989,0.10409502,0,0.048873717,0.095560865,0.031327607,0.031483425,0.066063048,0.058621003,0.070538316,0.099423865
male,42,0.052712281,0.119573667,0.1031507,0,0.048873717,0.095560865,0.031327607,0.033339581,0.066063048,0.058621003,0.070538316,0.100400862
male,43,0.053735209,0.12046442,0.102768496,0,0.048873717,0.095560865,0.031327607,0.035336892,0.066063048,0.058621003,0.070538316,0.10152228
male,44,0.054730577,0.121381905,0.102706808,0,0.048873717,0.095560865,0.031327607,0.037375188,0.066063048,0.058621003,0.070538316,0.102798383
male,45,0.055670823,0.121854014,0.102692714,0,0.048873717,0.095560865,0.031327607,0.039324326,0.066063048,0.058621003,0.070538316,0.104231788
male,46,0.056528387,0.121408638,0.102453288,0,0.048873717,0.095560865,0.031327607,0.04105416,0.066063048,0.058621003,0.070538316,0.105825112
male,47,0.057275708,0.119573667,0.101715606,0,0.048873717,0.095560865,0.031327607,0.042434546,0.066063048,0.058621003,0.070538316,0.107580971
male,48,0.057900759,0.116107432,0.100274155,0,0.048873717,0.095560865,0.031327607,0.043362989,0.066063048,0.058621003,0.070538316,0.109499047
male,49,0.05845365,0.11169001,0.098193067,0,0.048873717,0.095560865,0.031327607,0.043847598,0.066063048,0.058621003,0.070538316,0.111567284
male,50,0.059000024,0.107231919,0.095603886,0,0.048873717,0.095560865,0.031327607,0.043924131,0.066063048,0.058621003,0.070538316,0.113770693
male,51,0.059605525,0.103643675,0.092638153,0,0.048873717,0.095560865,0.031327607,0.043628344,0.066063048,0.058621003,0.070538316,0.116094283
male,52,0.060335798,0.101835796,0.089427413,0,0.048873717,0.095560865,0.031327607,0.042995998,0.066063048,0.058621003,0.070538316,0.118523063
male,53,0.061232391,0.102436474,0.08609269,0,0.048873717,0.095560865,0.031327607,0.042067952,0.066063048,0.058621003,0.070538316,0.12104467
