sex,age,mean,sd,height
female,48,28.258,5.4233,1.629586803
female,49,28.2464,5.4239,1.629842883
female,50,28.22,5.41,1.630305561
female,51,28.1785,5.3766,1.630512159
female,52,28.1277,5.3295,1.63
female,53,28.0745,5.277,1.628462692
female,54,28.0263,5.2277,1.626218993
female,55,27.99,5.19,1.623743948
female,56,27.9709,5.17,1.621512602
female,57,27.9661,5.165,1.62
female,58,27.9709,5.17,1.619522429
female,59,27.9804,5.18,1.619761146
female,60,27.99,5.19,1.620238648
female,61,27.9957,5.196,1.620477433
female,62,27.9976,5.198,1.62
female,63,27.9967,5.197,1.61848759
female,64,27.9938,5.194,1.616256423
female,65,27.99,5.19,1.61378146
female,66,27.99,5.19,1.611537665
female,67,27.99,5.19,1.61
female,68,27.99,5.19,1.609487209
female,69,27.99,5.19,1.609693162
female,70,27.99,5.19,1.61015551
female,71,27.99,5.19,1.610411906
female,72,27.99,5.19,1.61
female,73,27.99,5.19,1.608603574
female,74,27.99,5.19,1.60649093
female,75,27.99,5.19,1.604076499
female,76,27.99,5.19,1.601774712
female,77,27.99,5.19,1.6
female,78,27.99,5.19,1.599058493
female,79,27.99,5.19,1.598823117
female,80,27.99,5.19,1.599058493
female,81,27.99,5.19,1.599529247
female,82,27.99,5.19,1.6
female,83,27.99,5.19,1.600282452
female,84,27.99,5.19,1.600376603
female,85,27.99,5.19,1.600329527
female,86,27.99,5.19,1.600188301
female,87,27.99,5.19,1.6
female,88,27.99,5.19,1.6
female,89,27.99,5.19,1.6
female,90,27.99,5.19,1.6
female,91,27.99,5.19,1.6
female,92,27.99,5.19,1.6
female,93,27.99,5.19,1.6
female,94,27.99,5.19,1.6
female,95,27.99,5.19,1.6
female,96,27.99,5.19,1.6
female,97,27.99,5.19,1.6
female,98,27.99,5.19,1.6
female,99,27.99,5.19,1.6
female,100,27.99,5.19,1.6
